file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_00295_00101634363-arf_02121_002402,30.06,4.42,0.00,0.75,0.10,[0 1 0 0 1 1 0 1 1 0 1 1 1 0 0 0]
CycleGAN-arf_00295_00101634363-pef_07049_011914,28.79,4.39,0.00,0.11,0.02,[1 1 0 1 0 0 0 1 0 0 1 0 1 0 0 1]
CycleGAN-arf_00295_00131212768-arf_02121_008639,31.13,4.40,0.00,0.13,0.02,[0 1 1 0 0 0 0 1 1 0 0 1 0 0 0 0]
CycleGAN-arf_00295_00131212768-clf_04310_010940,30.68,4.28,0.00,0.11,0.02,[1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0]
CycleGAN-arf_00295_00131212768-clm_07049_011244,27.77,3.84,0.00,0.11,0.02,[1 1 1 0 1 1 1 0 0 1 0 0 0 1 1 0]
CycleGAN-arf_00295_00131212768-clm_08421_009615,28.57,3.93,0.00,0.11,0.02,[1 1 0 0 0 0 0 1 1 1 1 1 0 0 1 0]
CycleGAN-arf_00295_00131212768-com_04310_011798,27.35,4.13,0.00,0.11,0.02,[1 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0]
CycleGAN-arf_00295_00131212768-pem_02436_015865,31.82,4.45,0.00,0.11,0.02,[0 1 1 1 0 1 1 0 0 0 1 0 1 0 1 0]
CycleGAN-arf_00295_00324394523-arm_06136_010395,30.19,4.36,0.00,2.93,0.02,[1 1 1 0 1 0 0 0 1 0 0 1 1 1 0 0]
CycleGAN-arf_00295_00324394523-clf_09697_019410,27.10,4.17,0.00,2.24,0.02,[0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1]
CycleGAN-arf_00295_00324394523-clm_08421_003364,25.99,3.87,0.00,2.25,0.02,[1 1 0 0 1 0 1 0 1 1 0 0 1 1 1 1]
CycleGAN-arf_00295_00324394523-pef_07508_015368,27.64,4.18,0.00,2.23,0.02,[0 1 1 0 0 0 1 0 0 1 0 0 0 1 0 0]
CycleGAN-arf_00295_00324394523-pem_04310_014701,28.20,4.23,0.00,2.24,0.02,[0 0 0 0 0 0 1 1 0 1 1 0 1 1 0 1]
CycleGAN-arf_00295_00324394523-vef_02484_003441,23.97,3.87,0.00,2.23,0.02,[1 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1]
CycleGAN-arf_00295_00718389935-arm_00610_006296,29.12,4.34,0.00,0.09,0.01,[0 0 0 1 0 0 0 1 0 1 1 1 1 0 1 1]
