file_name,ber,ber_opus_12k
CycleGAN-arf_00295_00101634363-arf_02121_002402,0.00,0.00
CycleGAN-arf_00295_00101634363-pef_07049_011914,0.00,100.00
CycleGAN-arf_00295_00131212768-arf_02121_008639,0.00,6.25
CycleGAN-arf_00295_00131212768-clf_04310_010940,0.00,100.00
CycleGAN-arf_00295_00131212768-clm_07049_011244,0.00,0.00
CycleGAN-arf_00295_00131212768-clm_08421_009615,0.00,0.00
CycleGAN-arf_00295_00131212768-com_04310_011798,0.00,100.00
CycleGAN-arf_00295_00131212768-pem_02436_015865,0.00,100.00
CycleGAN-arf_00295_00324394523-arm_06136_010395,0.00,0.00
CycleGAN-arf_00295_00324394523-clf_09697_019410,0.00,100.00
CycleGAN-arf_00295_00324394523-clm_08421_003364,0.00,0.00
CycleGAN-arf_00295_00324394523-pef_07508_015368,0.00,100.00
CycleGAN-arf_00295_00324394523-pem_04310_014701,0.00,0.00
CycleGAN-arf_00295_00324394523-vef_02484_003441,0.00,12.50
CycleGAN-arf_00295_00718389935-arm_00610_006296,0.00,0.00
CycleGAN-arf_00295_00718389935-clf_03397_014270,0.00,12.50
CycleGAN-arf_00295_00718389935-clm_04310_015969,0.00,0.00
CycleGAN-arf_00295_00718389935-vef_02484_001203,0.00,6.25
CycleGAN-arf_00295_00718389935-vef_05223_012794,0.00,0.00
CycleGAN-arf_00295_00718389935-vem_06136_012113,0.00,6.25
CycleGAN-arf_00295_01243498718-arf_03397_019112,0.00,100.00
CycleGAN-arf_00295_01243498718-clm_08421_001648,0.00,0.00
CycleGAN-arf_00295_01243498718-com_02436_005795,0.00,0.00
CycleGAN-arf_00295_01243498718-pef_01208_003265,0.00,0.00
CycleGAN-arf_00295_01243498718-pef_07049_001892,0.00,12.50
CycleGAN-arf_00295_01288156524-clm_08421_011661,0.00,0.00
CycleGAN-arf_00295_01288156524-cof_08784_010252,0.00,0.00
CycleGAN-arf_00295_01288156524-com_09334_019393,0.00,0.00
CycleGAN-arf_00295_01288156524-pef_07049_006629,0.00,0.00
CycleGAN-arf_00295_01288156524-pem_04310_014765,0.00,100.00
CycleGAN-arf_00295_01288156524-vef_02484_003120,0.00,0.00
CycleGAN-arf_00295_01288156524-vem_04310_010821,0.00,0.00
CycleGAN-arf_00295_01502271945-arf_03397_018071,0.00,100.00
CycleGAN-arf_00295_01502271945-arm_01523_002301,0.00,31.25
CycleGAN-arf_00295_01502271945-arm_07508_000053,0.00,6.25
CycleGAN-arf_00295_01502271945-clm_04310_013012,0.00,6.25
CycleGAN-arf_00295_01502271945-cof_00610_017563,0.00,100.00
CycleGAN-arf_00295_01502271945-pem_04310_012946,0.00,12.50
CycleGAN-arf_00295_01967306974-arf_03397_004416,0.00,0.00
CycleGAN-arf_00295_01967306974-arf_05679_010210,0.00,0.00
CycleGAN-arf_00295_01967306974-clm_08421_012422,0.00,0.00
CycleGAN-arf_00295_01967306974-cof_06136_004519,0.00,0.00
CycleGAN-arf_00295_01967306974-com_09334_021251,0.00,0.00
CycleGAN-arf_00295_01967306974-pef_07049_011807,0.00,0.00
CycleGAN-arf_00295_02051061628-arf_05679_015664,0.00,0.00
CycleGAN-arf_00295_02051061628-cof_06136_015168,0.00,6.25
CycleGAN-arf_00295_02051061628-pef_07508_019688,0.00,0.00
